286 27480: 0: =P2,                      27480: 0: =P2,
287 27480: 4: =S6.0,                    27480: 4: =S6.0,
288 27480: 11: =F110,                   27480: 11: =F110,
289 27485: 0: =E1.0,                    27485: 0: =E1.0,
290 27488: 174: =E99.1,					27503
291 27510: 0: =S8.0,                    27510: 0: =S8.0,
292 27510: 7: =F112,                    27510: 7: =F112,
293 27520: 0: =S0.0,                    27520: 0: =S0.0,
294 27520: 7: =F113,                    27520: 7: =F113,
295 27522: 107: =F114,					27532
296 27523: 0: =S900.0,					27533
297 27523: 9: =E99.1,					27533
298 27690: 0: =P3,                      27690: 0: =P3,
299 27690: 4: =F101,                    27690: 4: =F101,
300 27715: 0: =F2,                      27715: 0: =F2,
301 27750: 0: =F103,                    27750: 0: =F103,
302 27760: 0: =F104,                    27760: 0: =F104,
303 27761: 68: =L35,                    27761: 0: =L35,
304 27761: 74: =S0.0,                   27761: 5: =S0.0,
305 27780: 76: =F105,                   27780: 0: =F105,
306 27781: 125: =F106,                  27781: 0: =F106,
307 27805: 65: =F107,                   27805: 0: =F107,
308 27806: 80: =F8,                     27806: 0: =F8,
309 27960: 0: =923,                     27960: 0: =923,
310 28100: 0: =P1,                      28100: 0: =P1,
311 28130: 0: =L35,                     28130: 0: =L35,
312 28130: 6: =S0.0,                    28130: 6: =S0.0,
313 28140: 0: =I83,                     28140: 0: =I83,
314 28140: 5: =F133,                    28140: 6: =F133,
315 28140: 11: =I84,                    28140: 13: =I84,
316 28140: 16: =F116,                   28140: 19: =F116,
317 28220: 46: =I83,                    28220: 0: =I83,
318 28220: 51: =F134,                   28220: 6: =F134,
319 28220: 57: =I84,                    28220: 13: =I84,
320 28220: 62: =F117,                   28220: 19: =F117,
321 28240: 76: =I83,                    28240: 0: =I83,
322 28240: 81: =F135,                   28240: 6: =F135,
323 28240: 87: =I84,                    28240: 13: =I84,
324 28240: 92: =F118,                   28240: 19: =F118,
325 28250: 0: =I83,                     28250: 0: =I83,
326 28250: 5: =F138,                    28250: 6: =F138,
327 28250: 11: =I84,                    28250: 13: =I84,
328 28250: 16: =F120,                   28250: 19: =F120,
329 28262: 27: =I83,                    28262: 0: =I83,
330 28262: 32: =F136,                   28262: 6: =F136,
331 28262: 38: =I84,                    28262: 13: =I84,
332 28262: 43: =F121,                   28262: 19: =F121,
333 28283: 0: =F137,					28298
